Year,League,Removed-Players,RP-Ranking,Original-Range,New-Ranking,New-Range,Original-Ranking
2012,NL,"('Kimbrel', 'Craig')","(8, 19)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Medlen')","(8, 20)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Soriano')","(8, 21)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Gonzalez')","(8, 22)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Prado')","(8, 23)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Stanton')","(8, 24)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Zimmerman')","(8, 25)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Hill')","(8, 26)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Beltran')","(8, 27)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Ruiz')","(8, 28)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Heyward')","(8, 29)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Harper')","(8, 30)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Cueto')","(8, 31)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Pence')","(8, 32)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Montero')","(8, 33)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Pagan')","(8, 34)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Kimbrel', 'Jones')","(8, 35)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Holliday')","(10, 11)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Chapman')","(10, 12)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Phillips')","(10, 13)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Dickey')","(10, 14)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Votto')","(10, 15)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Kershaw')","(10, 16)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Desmond')","(10, 17)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Bourn')","(10, 18)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Craig')","(10, 19)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Medlen')","(10, 20)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Soriano')","(10, 21)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Gonzalez')","(10, 22)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Prado')","(10, 23)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Stanton')","(10, 24)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Zimmerman')","(10, 25)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Hill')","(10, 26)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Beltran')","(10, 27)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Ruiz')","(10, 28)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Heyward')","(10, 29)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Harper')","(10, 30)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Cueto')","(10, 31)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Bruce', 'Pence')","(10, 32)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(3, 4, 5, 7, 6)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
