neill-ostrout,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,lsu-tigers,notre-dame-fighting-irish,michigan-wolverines,florida-gators,penn-state-nittany-lions,auburn-tigers,wisconsin-badgers,texas-longhorns,utah-utes,ucf-knights,texas-am-aggies,iowa-hawkeyes,washington-huskies,boise-state-broncos,michigan-state-spartans,washington-state-cougars,oregon-ducks,north-carolina-tar-heels,california-golden-bears,memphis-tigers
norm-wood,2019,3,alabama-crimson-tide,clemson-tigers,georgia-bulldogs,lsu-tigers,ohio-state-buckeyes,oklahoma-sooners,florida-gators,michigan-wolverines,auburn-tigers,notre-dame-fighting-irish,texas-longhorns,michigan-state-spartans,iowa-hawkeyes,ucf-knights,utah-utes,penn-state-nittany-lions,wisconsin-badgers,oregon-ducks,texas-am-aggies,boise-state-broncos,washington-state-cougars,washington-huskies,virginia-cavaliers,mississippi-state-bulldogs,usc-trojans
pat-dooley,2019,3,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,ohio-state-buckeyes,georgia-bulldogs,lsu-tigers,auburn-tigers,michigan-wolverines,notre-dame-fighting-irish,florida-gators,utah-utes,penn-state-nittany-lions,wisconsin-badgers,ucf-knights,texas-longhorns,oregon-ducks,washington-state-cougars,iowa-hawkeyes,texas-am-aggies,maryland-terrapins,mississippi-state-bulldogs,north-carolina-tar-heels,usc-trojans,colorado-buffaloes,virginia-cavaliers
rece-davis,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,auburn-tigers,utah-utes,texas-longhorns,oregon-ducks,wisconsin-badgers,texas-am-aggies,notre-dame-fighting-irish,penn-state-nittany-lions,iowa-hawkeyes,michigan-state-spartans,florida-gators,michigan-wolverines,ucf-knights,california-golden-bears,maryland-terrapins,washington-state-cougars,washington-huskies,iowa-state-cyclones,usc-trojans
rob-long,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,ohio-state-buckeyes,notre-dame-fighting-irish,lsu-tigers,florida-gators,auburn-tigers,michigan-wolverines,penn-state-nittany-lions,wisconsin-badgers,utah-utes,texas-longhorns,ucf-knights,michigan-state-spartans,oregon-ducks,maryland-terrapins,usc-trojans,iowa-state-cyclones,iowa-hawkeyes,washington-state-cougars,texas-am-aggies,washington-huskies,boise-state-broncos
robert-cessna,2019,3,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,georgia-bulldogs,ohio-state-buckeyes,lsu-tigers,notre-dame-fighting-irish,florida-gators,michigan-wolverines,texas-longhorns,utah-utes,auburn-tigers,ucf-knights,wisconsin-badgers,texas-am-aggies,oregon-ducks,penn-state-nittany-lions,boise-state-broncos,iowa-hawkeyes,washington-state-cougars,michigan-state-spartans,iowa-state-cyclones,north-carolina-tar-heels,california-golden-bears,washington-huskies
ryan-aber,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,lsu-tigers,auburn-tigers,michigan-wolverines,notre-dame-fighting-irish,ucf-knights,penn-state-nittany-lions,florida-gators,wisconsin-badgers,texas-longhorns,texas-am-aggies,washington-state-cougars,utah-utes,oregon-ducks,michigan-state-spartans,iowa-hawkeyes,usc-trojans,boise-state-broncos,iowa-state-cyclones,virginia-cavaliers,california-golden-bears
sam-mckewon,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,ohio-state-buckeyes,georgia-bulldogs,oklahoma-sooners,auburn-tigers,oregon-ducks,notre-dame-fighting-irish,utah-utes,florida-gators,iowa-hawkeyes,michigan-wolverines,wisconsin-badgers,texas-longhorns,texas-am-aggies,penn-state-nittany-lions,usc-trojans,michigan-state-spartans,north-carolina-tar-heels,maryland-terrapins,arizona-state-sun-devils,virginia-cavaliers,ucf-knights,boise-state-broncos
soren-petro,2019,3,alabama-crimson-tide,clemson-tigers,lsu-tigers,georgia-bulldogs,michigan-wolverines,oklahoma-sooners,ohio-state-buckeyes,auburn-tigers,notre-dame-fighting-irish,utah-utes,michigan-state-spartans,florida-gators,penn-state-nittany-lions,oregon-ducks,iowa-state-cyclones,texas-longhorns,iowa-hawkeyes,tcu-horned-frogs,texas-am-aggies,washington-state-cougars,ucf-knights,wisconsin-badgers,usc-trojans,kentucky-wildcats,maryland-terrapins
steve-batterson,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,lsu-tigers,texas-longhorns,michigan-wolverines,florida-gators,utah-utes,notre-dame-fighting-irish,auburn-tigers,wisconsin-badgers,michigan-state-spartans,ucf-knights,oregon-ducks,iowa-hawkeyes,penn-state-nittany-lions,washington-state-cougars,mississippi-state-bulldogs,texas-am-aggies,washington-huskies,iowa-state-cyclones,boise-state-broncos,virginia-cavaliers
steve-virgen,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,ohio-state-buckeyes,lsu-tigers,auburn-tigers,notre-dame-fighting-irish,utah-utes,michigan-wolverines,texas-longhorns,florida-gators,penn-state-nittany-lions,wisconsin-badgers,oregon-ducks,maryland-terrapins,ucf-knights,iowa-hawkeyes,michigan-state-spartans,usc-trojans,texas-am-aggies,boise-state-broncos,california-golden-bears,washington-state-cougars,washington-huskies
steve-wiseman,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,lsu-tigers,oklahoma-sooners,notre-dame-fighting-irish,auburn-tigers,michigan-wolverines,texas-longhorns,texas-am-aggies,florida-gators,penn-state-nittany-lions,utah-utes,wisconsin-badgers,iowa-hawkeyes,oregon-ducks,michigan-state-spartans,california-golden-bears,boise-state-broncos,ucf-knights,maryland-terrapins,washington-state-cougars,mississippi-state-bulldogs,virginia-cavaliers
