Season,Week,Combo,ab,ab-a,ab-b,bc,bc-b,bc-c,ca,ca-c,ca-a
2022,15,"lsu-tigers, oregon-ducks, oregon-state-beavers","(lsu-tigers, oregon-ducks)",31,32,"(oregon-ducks, oregon-state-beavers)",24,39,"(oregon-state-beavers, lsu-tigers)",22,41
2022,15,"oregon-ducks, oregon-state-beavers, tulane-green-wave","(oregon-ducks, oregon-state-beavers)",24,39,"(oregon-state-beavers, tulane-green-wave)",26,37,"(tulane-green-wave, oregon-ducks)",28,35
2022,16,"clemson-tigers, florida-state-seminoles, usc-trojans","(clemson-tigers, florida-state-seminoles)",38,25,"(florida-state-seminoles, usc-trojans)",32,31,"(usc-trojans, clemson-tigers)",36,27
2022,16,"kansas-state-wildcats, oregon-ducks, oregon-state-beavers","(kansas-state-wildcats, oregon-ducks)",30,33,"(oregon-ducks, oregon-state-beavers)",22,41,"(oregon-state-beavers, kansas-state-wildcats)",31,32
2022,16,"lsu-tigers, oregon-ducks, oregon-state-beavers","(lsu-tigers, oregon-ducks)",30,33,"(oregon-ducks, oregon-state-beavers)",22,41,"(oregon-state-beavers, lsu-tigers)",27,36
2023,6,"kentucky-wildcats, missouri-tigers, tennessee-volunteers","(kentucky-wildcats, missouri-tigers)",27,34,"(missouri-tigers, tennessee-volunteers)",28,33,"(tennessee-volunteers, kentucky-wildcats)",25,36
2023,11,"fresno-state-bulldogs, kansas-state-wildcats, liberty-flames","(fresno-state-bulldogs, kansas-state-wildcats)",26,21,"(kansas-state-wildcats, liberty-flames)",24,22,"(liberty-flames, fresno-state-bulldogs)",27,18
2023,11,"kansas-jayhawks, lsu-tigers, oklahoma-sooners","(kansas-jayhawks, lsu-tigers)",28,35,"(lsu-tigers, oklahoma-sooners)",25,38,"(oklahoma-sooners, kansas-jayhawks)",31,32
2023,16,"iowa-hawkeyes, kansas-jayhawks, liberty-flames","(iowa-hawkeyes, kansas-jayhawks)",27,26,"(kansas-jayhawks, liberty-flames)",30,25,"(liberty-flames, iowa-hawkeyes)",25,24
2023,16,"iowa-hawkeyes, kansas-jayhawks, southern-methodist-mustangs","(iowa-hawkeyes, kansas-jayhawks)",27,26,"(kansas-jayhawks, southern-methodist-mustangs)",29,27,"(southern-methodist-mustangs, iowa-hawkeyes)",29,23
2024,3,"boston-college-eagles, illinois-fighting-illini, northern-illinois-huskies","(boston-college-eagles, illinois-fighting-illini)",21,22,"(illinois-fighting-illini, northern-illinois-huskies)",19,23,"(northern-illinois-huskies, boston-college-eagles)",20,21
2024,5,"clemson-tigers, iowa-state-cyclones, louisville-cardinals","(clemson-tigers, iowa-state-cyclones)",30,32,"(iowa-state-cyclones, louisville-cardinals)",24,38,"(louisville-cardinals, clemson-tigers)",30,32
